Code,Name,Group,Image,Unit
b0001,أدراج الوطنية كبير - خماسي,أدراج الوطنية ( كبير - صغير ),01.jpg,
b0001,أدراج الوطنية كبير - رباعي,أدراج الوطنية ( كبير - صغير ),02.jpg,
b0001,أدراج الوطنية كبير - ثلاثي,أدراج الوطنية ( كبير - صغير ),03.jpg,
b0001,أدراج الوطنية صغير - خماسي,أدراج الوطنية ( كبير - صغير ),04.jpg,
b0001,أدراج الوطنية صغير - رباعي,أدراج الوطنية ( كبير - صغير ),05.jpg,
b0001,أدراج الوطنية صغير - ثلاثي,أدراج الوطنية ( كبير - صغير ),06.jpg,
b0001,أدراج مكتبية ملونة - خماسي,أدراج الوطنية ( كبير - صغير ),07.jpg,
b0001,أدراج مكتبية ملونة - رباعي,أدراج الوطنية ( كبير - صغير ),08.jpg,
b0001,أدراج مكتبية ملونة - ثلاثي,أدراج الوطنية ( كبير - صغير ),09.jpg,
b0001,أدراج مكتبية شفاف,أدراج الوطنية ( كبير - صغير ),10.jpg,
b0002,رف الصحون - خماسي كبير 2025,رفوف ,11.jpg,
b0002,رف الصحون - خماسي,رفوف ,12.jpg,
b0002,رف الصحون - رباعي,رفوف ,13.jpg,
b0002,رف الصحون - ثلاثي,رفوف ,14.jpg,
b0002,رف الصحون - ثنائي,رفوف ,15.jpg,
b0002,رف خضار نجوم الوطنية - خماسي,رفوف ,16.jpg,
b0002,رف خضار نجوم الوطنية -رباعي,رفوف ,17.jpg,
b0002,رف خضار نجوم الوطنية - ثلاثي,رفوف ,18.jpg,
b0002,رف الخضار المستطيل - خماسي,رفوف ,19.jpg,
b0002,رف الخضار المستطيل - رباعي,رفوف ,20.jpg,
b0002,رف الخضار المستطيل - ثلاثي,رفوف ,21.jpg,
b0002,رف خضار بيضاوي - رباعي,رفوف ,22.jpg,
b0002,رف خضار بيضاوي - ثلاثي,رفوف ,23.jpg,
b0003,صندوق رحلات 4.5 لتر,حافظات - صناديق - سلات,24.jpg,
b0003,صندوق رحلات 8.5 لتر,حافظات - صناديق - سلات,25.jpg,
b0003,صندوق رحلات 16 لتر,حافظات - صناديق - سلات,26.jpg,
